Velocity ,Angle,,,,,,,,,
,8,10,12,14,16,18,20,22,24,26
60,64,74,82,89,95,100,105,109,112,115
65,71,81,90,97,104,109,114,118,121,124
70,78,89,98,106,112,118,122,126,129,132
75,85,96,105,113,120,125,130,134,137,140
80,92,103,113,121,127,133,138,142,145,147
85,98,110,120,128,134,140,145,149,152,155
90,104,116,126,134,141,147,152,156,159,161
95,110,123,133,141,148,153,158,162,165,168
100,116,129,139,147,154,160,164,168,171,174
105,122,134,145,153,160,166,170,174,177,179
,,,,,distance,,,,,
,,,, ,,,,,,
